,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,t,prop_val,prop_id
349000003308,Al,Ca,O,Si,X,X,X,X,X,X,X,0.2,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.9815604742616416,LogViscosity2273K
349000003315,Al,Ca,O,Si,X,X,X,X,X,X,X,0.2,0.05,0.6166666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.9597274251282216,LogViscosity2273K
349000003317,Al,Ca,O,Si,X,X,X,X,X,X,X,0.14,0.075,0.6183333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.5337563753128052,LogViscosity2273K
349000003319,Al,Ca,O,Si,X,X,X,X,X,X,X,0.06,0.175,0.5983333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.9306824952363968,LogViscosity2273K
349000003320,Al,Ca,O,Si,X,X,X,X,X,X,X,0.026800000000000004,0.0915,0.6316999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.503839373588562,LogViscosity2273K
349000003321,Al,Ca,O,Si,X,X,X,X,X,X,X,0.07148,0.03565,0.6428699999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.5689433813095093,LogViscosity2273K
349000003322,Al,Ca,O,Si,X,X,X,X,X,X,X,0.016120000000000002,0.05485,0.6456966666666667,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,1.3252873420715332,LogViscosity2273K
349000003323,Al,Ca,O,Si,X,X,X,X,X,X,X,0.04288,0.0214,0.6523866666666667,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,1.4192829132080078,LogViscosity2273K
349100001651,Ca,O,Si,X,X,X,X,X,X,X,X,0.1525,0.6158333333333332,0.23166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.4233390092849731,LogViscosity2273K
349100003333,Al,O,Si,Sr,X,X,X,X,X,X,X,0.15000000000000002,0.5791666666666666,0.08333333333333333,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.9745685644447803,LogViscosity2273K
1323200040202,Al,O,Si,X,X,X,X,X,X,X,X,0.014519999999999998,0.6642466666666667,0.3212333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,3.666314125061035,LogViscosity2273K
1323200040203,Al,O,Si,X,X,X,X,X,X,X,X,0.01948,0.66342,0.3171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,2.860108375549317,LogViscosity2273K
1479200151547,Al,Na,O,Si,X,X,X,X,X,X,X,0.05,0.08333333333333333,0.6166666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,1.281609058380127,LogViscosity2273K
1479200151548,Al,K,O,Si,X,X,X,X,X,X,X,0.05,0.08333333333333333,0.6166666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,1.2047970294952397,LogViscosity2273K
1595700156241,B,Ba,K,O,Si,Ti,X,X,X,X,X,0.07600000000000001,0.0325,0.07333333333333332,0.6064999999999999,0.184,0.027666666666666662,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,2.1261377334594727,LogViscosity2273K
1647500158914,Al,Ca,O,Zr,X,X,X,X,X,X,X,0.14615999999999998,0.1661,0.58694,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.2344843149185181,LogViscosity2273K
1647500158919,Al,Ca,Mg,O,Si,Zr,X,X,X,X,X,0.13260000000000002,0.13760000000000006,0.0228,0.5911,0.014266666666666669,0.10163333333333333,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.4295402765274047,LogViscosity2273K
1738400166276,Mg,O,Si,Zr,X,X,X,X,X,X,X,0.13615,0.6212833333333333,0.2342,0.008366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.4864364862442017,LogViscosity2273K
1738400166277,Mg,O,Si,Zr,X,X,X,X,X,X,X,0.16720000000000002,0.6109333333333332,0.21366666666666664,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.2809865474700928,LogViscosity2273K
2415100179849,Na,O,Si,X,X,X,X,X,X,X,X,0.22,0.5566666666666666,0.22333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,-0.18564122915267944,LogViscosity2273K
2415100179850,Na,O,Si,X,X,X,X,X,X,X,X,0.1,0.6166666666666667,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.1884262561798096,LogViscosity2273K
2415100179851,Al,Ba,Ca,O,Si,X,X,X,X,X,X,0.06,0.05,0.05,0.6233333333333333,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2273K,2273,0.2085510492324829,LogViscosity2273K
4190700487647,Al,B,Ca,Fe,K,Mg,Na,O,Si,Sn,Zr,0.04896,0.014560000000000003,0.0003,4e-05,0.0002666666666666667,0.01175,0.09306666666666666,0.60539,0.2253333333333333,0.0003,3.333333333333333e-05,LogViscosity2273K,2273,3.219635486602783,LogViscosity2273K
