,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,t,prop_val,prop_id
410900050232,Li,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.111,0.111,0.5556666666666666,0.22233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,2.0305733680725098,LogViscosity1173K
4092100469662,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04666666666666667,0.0522,0.59885,0.222,0.05515,0.02513333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.799251794815064,LogViscosity1173K
4092100469657,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04753333333333333,0.05106666666666669,0.5991666666666666,0.2302333333333333,0.05460000000000001,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.613086700439453,LogViscosity1173K
3586000430136,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.0494,0.049666666666666665,0.6003333333333333,0.2469333333333333,0.0504,0.0032666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.848581314086914,LogViscosity1173K
3586000430146,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09466666666666664,0.6029,0.2438,0.0493,0.00933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,6.4103193283081055,LogViscosity1173K
3586000430145,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09953333333333332,0.5994166666666666,0.2453666666666667,0.05245000000000001,0.003233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.676302433013916,LogViscosity1173K
3586000430144,K,O,Si,Zn,X,X,X,X,X,X,X,X,X,X,X,X,X,0.10493333333333334,0.6000833333333333,0.2526333333333333,0.042350000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.289017915725708,LogViscosity1173K
3586000430147,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.10666666666666666,0.5959333333333334,0.22883333333333336,0.0522,0.016366666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,6.815601587295532,LogViscosity1173K
3586000430150,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.0236,0.09146666666666667,0.6047166666666667,0.2461333333333333,0.02505,0.00903333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.611475467681885,LogViscosity1173K
3586000430137,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.024,0.09006666666666666,0.606,0.25406666666666666,0.0229,0.0029666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.2358269691467285,LogViscosity1173K
4092100469659,Ca,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.02485,0.09093333333333332,0.6037833333333332,0.2357,0.0274,0.017333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,6.388237476348878,LogViscosity1173K
4092100469664,Ca,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.025,0.0466,0.0524,0.5996166666666666,0.22406666666666664,0.02765,0.02466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.617741823196411,LogViscosity1173K
4092100469663,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.025550000000000003,0.1052,0.5965,0.22093333333333331,0.02715,0.02466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.197757482528687,LogViscosity1173K
4092100469658,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.02565,0.1052,0.5962166666666667,0.2269666666666667,0.0279,0.01806666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.696360111236572,LogViscosity1173K
4092100469660,Ca,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.0259,0.04786666666666667,0.05213333333333334,0.5986499999999999,0.22946666666666665,0.02815,0.017833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.082488536834717,LogViscosity1173K
50100023517,Ca,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.0321967803219678,0.03084691530846915,0.1005899410058994,0.5953571309535712,0.2410092324100923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.903906345367432,LogViscosity1173K
50100023527,Ca,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.037300000000000014,0.035800000000000005,0.08806666666666667,0.5982666666666667,0.2405666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.2135560512542725,LogViscosity1173K
3586000430140,Ca,K,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0421,0.09986666666666667,0.6026999999999999,0.2553333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.6742520332336435,LogViscosity1173K
3586000430125,Ca,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0461,0.102,0.6003,0.2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.746730089187622,LogViscosity1173K
3586000430129,Ca,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0489,0.0938,0.6034666666666667,0.23126666666666665,0.022566666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.375478982925415,LogViscosity1173K
4092100469656,Ca,K,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04985,0.04593333333333333,0.051599999999999986,0.6012833333333333,0.23426666666666665,0.017066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.0484819412231445,LogViscosity1173K
4092100469661,Ca,K,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,0.0499,0.04673333333333333,0.05106666666666666,0.6011333333333333,0.2272333333333333,0.02393333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.393076419830322,LogViscosity1173K
3586000430143,Ca,K,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0503,0.10293333333333332,0.5984333333333334,0.2319333333333333,0.016399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.804765224456787,LogViscosity1173K
3586000430142,Ca,K,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0504,0.10273333333333333,0.5985,0.2374333333333333,0.010933333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,5.385098934173584,LogViscosity1173K
664700038838,Ca,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0508,0.10646666666666668,0.5965,0.2462333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.811954259872437,LogViscosity1173K
3586000430127,Ca,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.05095,0.08946666666666668,0.60495,0.2451,0.009533333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.546357154846191,LogViscosity1173K
3586000430126,Ca,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.05345,0.0924,0.6026499999999999,0.2484,0.0030999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.210468530654906,LogViscosity1173K
792800086009,Ba,Ca,Ge,K,Na,O,Si,Zn,X,X,X,X,X,X,X,X,X,0.023247675232476752,0.01904809519048095,0.0226977302269773,0.0251974802519748,0.07659234076592343,0.5827083958270839,0.19361397193613966,0.0568943105689431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.2328362464904794,LogViscosity1173K
792900086017,Ba,Ca,K,Na,O,Si,Sr,Zn,X,X,X,X,X,X,X,X,X,0.02355,0.02580000000000001,0.0604,0.038866666666666674,0.5738333333333333,0.19730000000000006,0.031400000000000004,0.04885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.2608699798583984,LogViscosity1173K
792900086013,Ba,Ca,Li,Na,O,Si,Zn,X,X,X,X,X,X,X,X,X,X,0.03914608539146086,0.014848515148485156,0.07439256074392561,0.057394260573942625,0.5622937706229377,0.19048095190480954,0.061443855614438575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.4637327194213867,LogViscosity1173K
1451000150223,Ba,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.04485,0.11093333333333333,0.59625,0.2479666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.496617555618286,LogViscosity1173K
792800086011,Ba,Ca,K,Li,Na,O,Si,Zn,X,X,X,X,X,X,X,X,X,0.04694530546945306,0.012848715128487152,0.010198980101989802,0.032130120321301206,0.07739226077392261,0.5588774455887745,0.17761557177615572,0.08399160083991603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.8170394897460938,LogViscosity1173K
792900086015,Ba,Ca,K,Li,Mg,Na,O,Si,Zn,X,X,X,X,X,X,X,X,0.047,0.05645,0.009933333333333336,0.0314,0.01745000000000001,0.07566666666666669,0.54195,0.1424,0.07775000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.5517253875732417,LogViscosity1173K
792800086001,Ba,Ca,K,Na,O,Si,Zn,X,X,X,X,X,X,X,X,X,X,0.04794520547945205,0.0720927907209279,0.07805886078058863,0.0395293803952938,0.560327300603273,0.17944872179448726,0.0225977402259774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.490016460418701,LogViscosity1173K
41000022192,Ba,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.05,0.2,0.5499999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.9789384603500368,LogViscosity1173K
41000022196,Ba,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.1,0.13333333333333333,0.5666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,2.2721598148345947,LogViscosity1173K
421700110848,As,B,K,O,Pb,Sb,Si,X,X,X,X,X,X,X,X,X,X,0.0005600224008960361,0.002400096003840154,0.033401336053442136,0.5981565929303839,0.15375615024600986,0.0003840153606144248,0.21134178700481354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,2.3256447315216064,LogViscosity1173K
421700110849,As,K,O,Pb,Sb,Si,X,X,X,X,X,X,X,X,X,X,X,0.00236,0.028933333333333325,0.5963066666666667,0.1663,0.0004,0.2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,2.2869222164154057,LogViscosity1173K
994900087237,Al,B,Ca,Ge,K,Li,Mg,Na,O,Si,X,X,X,X,X,X,X,0.0007200720072007201,0.04216421642164217,0.016351635163516356,0.009734306764009736,0.017335066840017337,0.040937427076040964,0.007600760076007602,0.032869953662032866,0.6059639297263061,0.22632263226322635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.57205057144165,LogViscosity1173K
3989500471468,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0012,0.06720000000000001,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5732666666666666,0.16666666666666666,0.01333333333333333,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.4007959365844729,LogViscosity1173K
3989500471467,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0012,0.07120000000000001,0.0003333333333333333,0.0013333333333333333,0.057333333333333326,0.07733333333333332,0.5726,0.16333333333333333,0.01333333333333333,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.3291783332824707,LogViscosity1173K
3989500471466,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0012,0.07120000000000001,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5726,0.16333333333333333,0.01333333333333333,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.3079283237457275,LogViscosity1173K
3989500471465,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0012,0.07120000000000001,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5726,0.16666666666666666,0.009999999999999998,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.43522047996521,LogViscosity1173K
3989500471464,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0012,0.07120000000000001,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5726,0.16999999999999998,0.006666666666666665,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5321834087371826,LogViscosity1173K
3989500471471,Al,B,Ba,Ce,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0024,0.06752000000000001,0.0085,0.0003333333333333333,0.0566,0.07193333333333332,0.57493,0.1681666666666667,0.010666666666666666,0.03895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5482771396636963,LogViscosity1173K
3989500471460,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0024,0.07048000000000001,0.0003333333333333333,0.008666666666666666,0.05606666666666667,0.06406666666666666,0.5746033333333335,0.16650000000000004,0.010333333333333332,0.04655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5973713397979736,LogViscosity1173K
3989500471472,Al,B,Ce,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,X,0.002400000000000001,0.07328000000000004,0.0003333333333333334,0.05540000000000001,0.0800666666666667,0.5743033333333336,0.1678333333333334,0.010333333333333337,0.03605000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5083589553833008,LogViscosity1173K
3989500471461,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0028,0.0728,0.0003333333333333333,0.018000000000000002,0.05666666666666668,0.054666666666666655,0.5739,0.16366666666666665,0.010666666666666666,0.046500000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5754497051239014,LogViscosity1173K
453200035873,Al,Ca,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.0029197080291970805,0.06524347565243477,0.0917908209179082,0.5985368129853681,0.2415091824150918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.994087219238281,LogViscosity1173K
453200035897,Al,Ca,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.0030000000000000014,0.04885,0.09526666666666668,0.6022500000000001,0.2506333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.11820650100708,LogViscosity1173K
3989500471469,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0032,0.07120000000000001,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5730999999999999,0.16333333333333333,0.01333333333333333,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.43522047996521,LogViscosity1173K
944800067784,Al,B,Ca,Ge,K,Li,Mg,Na,O,Si,X,X,X,X,X,X,X,0.003560356035603561,0.045324532453245324,0.04325432543254325,0.01933526686001933,0.0086008600860086,0.05413874720805412,0.0301030103010301,0.0326032603260326,0.5863953061972864,0.17668433510017667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.400704860687256,LogViscosity1173K
3989500471470,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0036000000000000008,0.0676,0.0003333333333333333,0.0013333333333333333,0.06266666666666666,0.07200000000000001,0.5728000000000001,0.16400000000000006,0.013666666666666664,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.4059548377990725,LogViscosity1173K
3989500471462,Al,B,Ce,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.0036000000000000008,0.0704,0.0003333333333333333,0.006666666666666665,0.055999999999999994,0.06733333333333333,0.5740000000000001,0.16766666666666666,0.008,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.5846340656280518,LogViscosity1173K
764800132584,Al,B,Ca,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,0.0037192561487702468,0.032553489302139575,0.013197360527894421,0.013130707191894951,0.01692994734386456,0.6391255082316869,0.2708791575018329,0.00619876024795041,0.004265813503965873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,6.052931785583496,LogViscosity1173K
2856600366194,Al,Ba,Ce,K,Li,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,0.0040403232258580685,0.008450676054084325,0.0008667360055471103,0.033869376216763995,0.02453529615702589,0.04033656025815398,0.6018881510520839,0.25008667360055464,0.0357528602288183,0.00017334720110942202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.960613250732422,LogViscosity1173K
764800132575,Al,B,Ba,Ca,K,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,0.0040404040404040395,0.05092509250925092,0.0033503350335033497,0.016451645164516443,0.0122012201220122,0.014751475147514747,0.006734006734006732,0.6365203186985362,0.2532586591992532,0.0017668433510017664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,6.3336334228515625,LogViscosity1173K
2856600366188,Al,Ba,Ce,K,Li,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,0.0041197116201865894,0.014898957073004891,0.0008999370044096912,0.03419760616756826,0.0247982641215115,0.040797144199905995,0.6030844507551137,0.2530156222397765,0.02409831311808173,8.999370044096913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.984542846679688,LogViscosity1173K
2856600366191,Al,Ba,Ce,K,Li,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,0.004119464469618949,0.014948056752622159,0.0008998830152080231,0.03426221257903138,0.024796776419065518,0.040794696689430365,0.6030382716913467,0.25286712727345445,0.02409686740723706,0.0001766437029852785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.984542846679688,LogViscosity1173K
2856600366196,Al,B,Ba,Ce,K,Li,Na,O,Si,Zn,Zr,X,X,X,X,X,X,0.004120288420189413,0.001880131609212645,0.014951046573260131,0.0009000630044103088,0.03426906550125175,0.024801736121528514,0.040802856199934,0.6027121898532896,0.25128425656462616,0.024101687118098267,0.00017667903419906058,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.945878982543945,LogViscosity1173K
995000087252,Al,Ca,K,Li,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,0.00436043604360436,0.0298029802980298,0.007867453412007865,0.087008700870087,0.02765276527652765,0.018001800180018002,0.5903490349034903,0.2349568290162349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.35400390625,LogViscosity1173K
995000087246,Al,Ca,K,Li,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,0.004560000000000001,0.0312,0.008266666666666665,0.039,0.0217,0.06266666666666666,0.5933066666666666,0.2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.034113883972168,LogViscosity1173K
3899300461117,Al,Ca,K,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,0.0046799999999999975,0.0483,0.0034,0.0266,0.08646666666666665,0.5959866666666667,0.23456666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.100738525390625,LogViscosity1173K
995400087320,Al,Ca,K,Li,Mg,Na,O,Si,Ti,Zn,X,X,X,X,X,X,X,0.00472047204720472,0.01615161516151615,0.0342034203420342,0.04040404040404039,0.0075007500750075,0.032469913658032465,0.6032236556989032,0.2563589692302564,0.0012667933460012667,0.0037003700370037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.756767749786377,LogViscosity1173K
3989500471463,Al,B,Ba,Ca,K,Li,Na,O,Si,Ti,Zn,X,X,X,X,X,X,0.0047995200479952005,0.07335266473352664,0.003999600039995999,0.005499450054994499,0.0180648601806486,0.0567943205679432,0.0547945205479452,0.5739659367396595,0.16298370162983702,0.010698930106989298,0.03504649535046495,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,1.634885311126709,LogViscosity1173K
3846700456729,Al,Ca,K,Li,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,0.004800480048004801,0.0163016301630163,0.03887055372203886,0.0272027202720272,0.00755075507550755,0.0328032803280328,0.6084775144181084,0.26399306597326394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.1203436851501465,LogViscosity1173K
994900087224,Al,Ca,K,Li,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,X,0.004839516048395161,0.01644835516448355,0.0391294203912942,0.027463920274639203,0.00764923507649235,0.0330633603306336,0.6079992000799921,0.2609072426090724,0.0024997500249975004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,4.02899694442749,LogViscosity1173K
944700067777,Al,B,Ca,K,Li,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,0.0048409681936387285,0.03484696939387879,0.036457291458291664,0.01180236047209442,0.02760552110422084,0.01920384076815363,0.09921984396879376,0.5721844368873776,0.18380342735213712,0.010035340401413616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1173K,1173,3.383488655090332,LogViscosity1173K
